source_id,source_name,filename,page,year,region,country,metric,value,unit,scenario,quote,note,confidence,candidate_id,promote,reviewer,review_note,corrected_year,corrected_region,corrected_country,corrected_metric,corrected_value,corrected_unit,corrected_scenario,corrected_confidence
2604_06198v1,Concentrated siting of AI data centers drives regional,2604.06198v1.pdf,1,2024,global,,total_electricity_demand_twh,118.0,TWh,high,"rth America, Western Europe, and the Asia–Pacific, which together account for more than 90% of projected compute capacity. Aggregate electricity consumption by the six leading firms is projected to increase from roughly 118 TWh in 2024 to between 239 TWh and 295 TWh by 2030, equivalent to about 1% of global power demand. Regions such as Oregon, Virginia,andIrelandmayexperiencehighPowerStressIndex(PSI)valuesexceeding0.25,indicating localgridvul",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,2604_06198v1_1_2024_global_total_electricity_demand_twh_118_0_tw_890f19d2c4,,,,,,,,,,,
2604_06198v1,Concentrated siting of AI data centers drives regional,2604.06198v1.pdf,1,2024,global,,total_electricity_demand_twh,239.0,TWh,high,", and the Asia–Pacific, which together account for more than 90% of projected compute capacity. Aggregate electricity consumption by the six leading firms is projected to increase from roughly 118 TWh in 2024 to between 239 TWh and 295 TWh by 2030, equivalent to about 1% of global power demand. Regions such as Oregon, Virginia,andIrelandmayexperiencehighPowerStressIndex(PSI)valuesexceeding0.25,indicating localgridvulnerability,whereasdiversifi",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,2604_06198v1_1_2024_global_total_electricity_demand_twh_239_0_tw_5db4ee1742,,,,,,,,,,,
2604_06198v1,Concentrated siting of AI data centers drives regional,2604.06198v1.pdf,1,2030,global,,total_electricity_demand_twh,295.0,TWh,high,"ia–Pacific, which together account for more than 90% of projected compute capacity. Aggregate electricity consumption by the six leading firms is projected to increase from roughly 118 TWh in 2024 to between 239 TWh and 295 TWh by 2030, equivalent to about 1% of global power demand. Regions such as Oregon, Virginia,andIrelandmayexperiencehighPowerStressIndex(PSI)valuesexceeding0.25,indicating localgridvulnerability,whereasdiversifiedsystemssuc",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,2604_06198v1_1_2030_global_total_electricity_demand_twh_295_0_tw_d679d05550,,,,,,,,,,,
2604_06198v1,Concentrated siting of AI data centers drives regional,2604.06198v1.pdf,6,2030,global,,data_center_share_percent,35.0,percent,low,"elevates system-level energy demand Fig. 2 (a) Firm-level electricity consumption of data centers from 2025 to 2030 under three site-expansion scenarios. Eachtrajectoryisderivedfromfirm-specificexpansionrates(15%,25%,and35%forconservative,neutral,andoptimistic scenario,respectively)combinedwiththeprojectedshareofAI-intensiveworkloadsbyfirm.(b)Aggregatedglobalelectricity consumptionofdatacentersfrom2018to2030,showinghistoricaltrendsandscena",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,2604_06198v1_6_2030_global_data_center_share_percent_35_0_percen_479bf9521b,,,,,,,,,,,
2604_06198v1,Concentrated siting of AI data centers drives regional,2604.06198v1.pdf,7,2030,global,,data_center_electricity_demand_twh,239.0,TWh,base,"aldisclosuresandutilitydata,whilethecoloreddashedlinescorrespondtoscenario- based projections. Total electricity consumption by these leading firms’ data centers is expected to rise fromapproximately118TWhin2024tobetween239TWh(conservative)and295TWh(optimistic)by 2030, implying a compound annual growth rate (CAGR) of roughly 13-17%. This increase is equivalent to adding the electricity demand of a medium-sized national market every two years,",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,2604_06198v1_7_2030_global_data_center_electricity_demand_twh_23_596f629285,,,,,,,,,,,
2604_06198v1,Concentrated siting of AI data centers drives regional,2604.06198v1.pdf,7,2030,global,,data_center_electricity_demand_twh,295.0,TWh,base,"data,whilethecoloreddashedlinescorrespondtoscenario- based projections. Total electricity consumption by these leading firms’ data centers is expected to rise fromapproximately118TWhin2024tobetween239TWh(conservative)and295TWh(optimistic)by 2030, implying a compound annual growth rate (CAGR) of roughly 13-17%. This increase is equivalent to adding the electricity demand of a medium-sized national market every two years, or comparable to thean",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,2604_06198v1_7_2030_global_data_center_electricity_demand_twh_29_959e43504a,,,,,,,,,,,
2604_06198v1,Concentrated siting of AI data centers drives regional,2604.06198v1.pdf,7,2030,global,,data_center_electricity_demand_twh,945.0,TWh,estimate,"rable to theannualelectricityuseofabout27millionU.S.households.Theprojectedmagnitudeisquantitatively consistentwiththeInternationalEnergyAgency’s(IEA)forecastthattotalglobaldatacenterelectricity demand will reach around 945 TWh by 2030 (approximately 3% of global power consumption)10, com- paredwithabout1.5%in2024.Theseprojectionscollectivelyillustratetheacceleratingenergyfootprint of AI infrastructure within the broader global power system. T",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,2604_06198v1_7_2030_global_data_center_electricity_demand_twh_94_ac7f103b32,,,,,,,,,,,
2604_06198v1,Concentrated siting of AI data centers drives regional,2604.06198v1.pdf,7,2030,global,,data_center_share_percent,1.5,percent,estimate,"squantitatively consistentwiththeInternationalEnergyAgency’s(IEA)forecastthattotalglobaldatacenterelectricity demand will reach around 945 TWh by 2030 (approximately 3% of global power consumption)10, com- paredwithabout1.5%in2024.Theseprojectionscollectivelyillustratetheacceleratingenergyfootprint of AI infrastructure within the broader global power system. Taken as a whole, these projections demonstrate that AI-driven digital infrastructu",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,2604_06198v1_7_2030_global_data_center_share_percent_1_5_percent_335e0995bc,,,,,,,,,,,
2604_06198v1,Concentrated siting of AI data centers drives regional,2604.06198v1.pdf,18,2025,asia_pacific,,electricity_demand_growth_percent,20.0,percent,estimate,"olution of these parameters over a five-year horizon. The prompt incorporated both historical operational trends and retrieved regional information, con- strainingLLMreasoningwithempiricallyobservedhyperscalepatterns:10–20%annualcapacitygrowth, 1–3% annual efficiency gains, and gradual improvements in utilization. The model generated structured forecasts for each year t ∈ [2025,2030], each annotated with explanatory notes and relevant docu",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,2604_06198v1_18_2025_asia_pacific_electricity_demand_growth_perc_d9bba89d7d,,,,,,,,,,,
2604_06198v1,Concentrated siting of AI data centers drives regional,2604.06198v1.pdf,22,2024,global,,total_electricity_demand_twh,118.0,TWh,low,"fied by the LLM model, and that legacy loads follow empirically observed footprints. 10) Cross-validation Aggregate electricity consumption by the six leading hyperscale operators is projected to rise from approximately 118 TWh in 2024 to 239–295 TWh by 2030. This projection is broadly consistent with the International Energy Agency’s (IEA) estimate that global data-center electricity demand will reach roughly 945 TWh by 2030 (IEA, 2025). To b",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,2604_06198v1_22_2024_global_total_electricity_demand_twh_118_0_t_d811fb9e44,,,,,,,,,,,
