source_id,source_name,filename,page,year,region,country,metric,value,unit,scenario,quote,note,confidence,candidate_id,promote,reviewer,review_note,corrected_year,corrected_region,corrected_country,corrected_metric,corrected_value,corrected_unit,corrected_scenario,corrected_confidence
energyandai,Energy and AI,EnergyandAI.pdf,49,2030,global,,regional_data_center_demand_twh,945.0,TWh,base,"itivity cases (Lift-Off, High Efficiency and Headwinds) capture uncertainties in efficiency improvements in hardware and software, AI uptake and energy sector bottlenecks. • In the Base Case, electricity consumption from data centres rises to around 945 TWh by 2030, more than doubling from the 2024 level. The United States sees by far the largest absolute growth, followed by China and Europe. Data centres still account for less than 10% of the growth in global electricity consumption to 2030. • ",Extracted from pages 49–64. Requires manual review before promotion.,medium,energyandai_49_2030_global_regional_data_center_demand_twh_945_0_92270fcd6f,,,,,,,,,,,
energyandai,Energy and AI,EnergyandAI.pdf,49,2035,global,,total_electricity_demand_twh,260.0,TWh,lift_off,"ope. Data centres still account for less than 10% of the growth in global electricity consumption to 2030. • The Lift-Off Case assumes stronger AI uptake and limited local constraints on data centre buildout. In this case, consumption reaches over 1 260 TWh by 2030. The High Efficiency Case is driven by energy savings in both software and hardware; consumption reaches around 800 TWh by 2030. In the Headwinds Case, it reaches around 670 TWh. By 2035, the spread of uncertainty widens further, span",Extracted from pages 49–64. Requires manual review before promotion.,medium,energyandai_49_2035_global_total_electricity_demand_twh_260_0_tw_f23a10c3f8,,,,,,,,,,,
energyandai,Energy and AI,EnergyandAI.pdf,49,2035,,United States,regional_data_center_demand_twh,700.0,TWh,base,"Wh by 2030. The High Efficiency Case is driven by energy savings in both software and hardware; consumption reaches around 800 TWh by 2030. In the Headwinds Case, it reaches around 670 TWh. By 2035, the spread of uncertainty widens further, spanning 700 TWh to 1 720 TWh across the four cases. • Natural gas generation to meet data centre demand increases by around 175 TWh from today’s level to 2035 in the Base Case, mostly concentrated in the United States. In the Lift-Off Case, it grows by 290 T",Extracted from pages 49–64. Requires manual review before promotion.,medium,energyandai_49_2035_united_states_regional_data_center_demand_tw_e29f81b686,,,,,,,,,,,
energyandai,Energy and AI,EnergyandAI.pdf,49,2035,,United States,regional_data_center_demand_twh,720.0,TWh,base,"he High Efficiency Case is driven by energy savings in both software and hardware; consumption reaches around 800 TWh by 2030. In the Headwinds Case, it reaches around 670 TWh. By 2035, the spread of uncertainty widens further, spanning 700 TWh to 1 720 TWh across the four cases. • Natural gas generation to meet data centre demand increases by around 175 TWh from today’s level to 2035 in the Base Case, mostly concentrated in the United States. In the Lift-Off Case, it grows by 290 TWh. Renewable",Extracted from pages 49–64. Requires manual review before promotion.,medium,energyandai_49_2035_united_states_regional_data_center_demand_tw_3a1b230be0,,,,,,,,,,,
energyandai,Energy and AI,EnergyandAI.pdf,49,2035,,United States,regional_data_center_demand_twh,175.0,TWh,base,"around 800 TWh by 2030. In the Headwinds Case, it reaches around 670 TWh. By 2035, the spread of uncertainty widens further, spanning 700 TWh to 1 720 TWh across the four cases. • Natural gas generation to meet data centre demand increases by around 175 TWh from today’s level to 2035 in the Base Case, mostly concentrated in the United States. In the Lift-Off Case, it grows by 290 TWh. Renewables provide the largest contribution to meet data centre demand, increasing by 450 TWh to 2035 in the Bas",Extracted from pages 49–64. Requires manual review before promotion.,medium,energyandai_49_2035_united_states_regional_data_center_demand_tw_e2fbaf9992,,,,,,,,,,,
energyandai,Energy and AI,EnergyandAI.pdf,49,2035,,United States,regional_data_center_demand_twh,290.0,TWh,base,"ning 700 TWh to 1 720 TWh across the four cases. • Natural gas generation to meet data centre demand increases by around 175 TWh from today’s level to 2035 in the Base Case, mostly concentrated in the United States. In the Lift-Off Case, it grows by 290 TWh. Renewables provide the largest contribution to meet data centre demand, increasing by 450 TWh to 2035 in the Base Case. This reflects their broad availability, short development times, economic competitiveness and technology sector procureme",Extracted from pages 49–64. Requires manual review before promotion.,medium,energyandai_49_2035_united_states_regional_data_center_demand_tw_7a777c5524,,,,,,,,,,,
energyandai,Energy and AI,EnergyandAI.pdf,49,2035,,United States,regional_data_center_demand_twh,450.0,TWh,base,"emand increases by around 175 TWh from today’s level to 2035 in the Base Case, mostly concentrated in the United States. In the Lift-Off Case, it grows by 290 TWh. Renewables provide the largest contribution to meet data centre demand, increasing by 450 TWh to 2035 in the Base Case. This reflects their broad availability, short development times, economic competitiveness and technology sector procurement strategies. Nuclear power also contributes. • Grid congestion and connection queues are grow",Extracted from pages 49–64. Requires manual review before promotion.,medium,energyandai_49_2035_united_states_regional_data_center_demand_tw_dc3a810eea,,,,,,,,,,,
energyandai,Energy and AI,EnergyandAI.pdf,49,2024,global,,regional_data_center_demand_twh,945.0,TWh,base,"y cases (Lift-Off, | High Efficiency and Headwinds) capture uncertainties in efficiency improvements in | hardware and software, AI uptake and energy sector bottlenecks. | • In the Base Case, electricity consumption from data centres rises to around 945 TWh | by 2030, more than doubling from the 2024 level. The United States sees by far the | largest absolute growth, followed by China and Europe. Data centres still account for | less than 10% of the growth in global electricity consumption to 20",Extracted from pages 49–64. Requires manual review before promotion.,medium,energyandai_49_2024_global_regional_data_center_demand_twh_945_0_d0c00ec8c0,,,,,,,,,,,
energyandai,Energy and AI,EnergyandAI.pdf,49,2035,global,,total_electricity_demand_twh,260.0,TWh,lift_off,"ata centres still account for | less than 10% of the growth in global electricity consumption to 2030. | • The Lift-Off Case assumes stronger AI uptake and limited local constraints on data | centre buildout. In this case, consumption reaches over 1 260 TWh by 2030. The High | Efficiency Case is driven by energy savings in both software and hardware; | consumption reaches around 800 TWh by 2030. In the Headwinds Case, it reaches | around 670 TWh. By 2035, the spread of uncertainty widens further",Extracted from pages 49–64. Requires manual review before promotion.,medium,energyandai_49_2035_global_total_electricity_demand_twh_260_0_tw_eceab11886,,,,,,,,,,,
energyandai,Energy and AI,EnergyandAI.pdf,49,2035,,United States,regional_data_center_demand_twh,700.0,TWh,base,"30. The High | Efficiency Case is driven by energy savings in both software and hardware; | consumption reaches around 800 TWh by 2030. In the Headwinds Case, it reaches | around 670 TWh. By 2035, the spread of uncertainty widens further, spanning | 700 TWh to 1 720 TWh across the four cases. | • Natural gas generation to meet data centre demand increases by around 175 TWh | from today’s level to 2035 in the Base Case, mostly concentrated in the United States. | In the Lift-Off Case, it grows by",Extracted from pages 49–64. Requires manual review before promotion.,medium,energyandai_49_2035_united_states_regional_data_center_demand_tw_d77e78f065,,,,,,,,,,,
energyandai,Energy and AI,EnergyandAI.pdf,49,2035,,United States,regional_data_center_demand_twh,720.0,TWh,base,"| Efficiency Case is driven by energy savings in both software and hardware; | consumption reaches around 800 TWh by 2030. In the Headwinds Case, it reaches | around 670 TWh. By 2035, the spread of uncertainty widens further, spanning | 700 TWh to 1 720 TWh across the four cases. | • Natural gas generation to meet data centre demand increases by around 175 TWh | from today’s level to 2035 in the Base Case, mostly concentrated in the United States. | In the Lift-Off Case, it grows by 290 TWh. Ren",Extracted from pages 49–64. Requires manual review before promotion.,medium,energyandai_49_2035_united_states_regional_data_center_demand_tw_e2eac48f8a,,,,,,,,,,,
energyandai,Energy and AI,EnergyandAI.pdf,49,2035,,United States,regional_data_center_demand_twh,175.0,TWh,base,"800 TWh by 2030. In the Headwinds Case, it reaches | around 670 TWh. By 2035, the spread of uncertainty widens further, spanning | 700 TWh to 1 720 TWh across the four cases. | • Natural gas generation to meet data centre demand increases by around 175 TWh | from today’s level to 2035 in the Base Case, mostly concentrated in the United States. | In the Lift-Off Case, it grows by 290 TWh. Renewables provide the largest contribution | to meet data centre demand, increasing by 450 TWh to 2035 in th",Extracted from pages 49–64. Requires manual review before promotion.,medium,energyandai_49_2035_united_states_regional_data_center_demand_tw_97ec016f1d,,,,,,,,,,,
energyandai,Energy and AI,EnergyandAI.pdf,49,2035,,United States,regional_data_center_demand_twh,290.0,TWh,base,"00 TWh to 1 720 TWh across the four cases. | • Natural gas generation to meet data centre demand increases by around 175 TWh | from today’s level to 2035 in the Base Case, mostly concentrated in the United States. | In the Lift-Off Case, it grows by 290 TWh. Renewables provide the largest contribution | to meet data centre demand, increasing by 450 TWh to 2035 in the Base Case. This | reflects their broad availability, short development times, economic competitiveness | and technology sector pro",Extracted from pages 49–64. Requires manual review before promotion.,medium,energyandai_49_2035_united_states_regional_data_center_demand_tw_cd2db124de,,,,,,,,,,,
energyandai,Energy and AI,EnergyandAI.pdf,49,2035,,United States,regional_data_center_demand_twh,450.0,TWh,base,"increases by around 175 TWh | from today’s level to 2035 in the Base Case, mostly concentrated in the United States. | In the Lift-Off Case, it grows by 290 TWh. Renewables provide the largest contribution | to meet data centre demand, increasing by 450 TWh to 2035 in the Base Case. This | reflects their broad availability, short development times, economic competitiveness | and technology sector procurement strategies. Nuclear power also contributes. | • Grid congestion and connection queues ar",Extracted from pages 49–64. Requires manual review before promotion.,medium,energyandai_49_2035_united_states_regional_data_center_demand_tw_7bc1157334,,,,,,,,,,,
energyandai,Energy and AI,EnergyandAI.pdf,49,2024,global,,data_center_share_percent,1.5,%,base,"l intelligence (AI) model training and deployment occur mainly in data centres.
In total, electricity consumption from data centres is estimated to amount to around
415 terawatt hours (TWh), or about 1.5% of global electricity consumption in 2024. It
has grown at 12% per year over the last five years.
• Our Base Case projections for data centre electricity consumption are grounded in the
latest indust",Extracted from pages 49–64. Requires manual review before promotion.,medium,energyandai_49_2024_global_data_center_share_percent_1_5_base_l__b2cad2a483,,,,,,,,,,,
energyandai,Energy and AI,EnergyandAI.pdf,49,2024,global,,data_center_share_percent,12.0,%,base,"n data centres.
In total, electricity consumption from data centres is estimated to amount to around
415 terawatt hours (TWh), or about 1.5% of global electricity consumption in 2024. It
has grown at 12% per year over the last five years.
• Our Base Case projections for data centre electricity consumption are grounded in the
latest industry expectations for server shipments. Three sensitivity cases (",Extracted from pages 49–64. Requires manual review before promotion.,medium,energyandai_49_2024_global_data_center_share_percent_12_0_base_n_9ff4f596c3,,,,,,,,,,,
energyandai,Energy and AI,EnergyandAI.pdf,49,2030,global,,data_center_share_percent,10.0,%,lift_off,"es to around 945 TWh
by 2030, more than doubling from the 2024 level. The United States sees by far the
largest absolute growth, followed by China and Europe. Data centres still account for
less than 10% of the growth in global electricity consumption to 2030.
• The Lift-Off Case assumes stronger AI uptake and limited local constraints on data
centre buildout. In this case, consumption reaches over 1",Extracted from pages 49–64. Requires manual review before promotion.,medium,energyandai_49_2030_global_data_center_share_percent_10_0_lift_o_4fe18a7c08,,,,,,,,,,,
energyandai,Energy and AI,EnergyandAI.pdf,56,2024,global,,data_center_share_percent,24.0,%,estimate,"proach, estimates often rely on the electricity consumption of
accelerated servers as a proxy for the share of AI in total electricity consumption from
data centres. Accelerated servers accounted for 24% of server electricity demand and
15% of total data centre demand in 2024.
56 International Energy Agency | Energy and AI
.0.4
YB
CC
.AEI",Extracted from pages 49–64. Requires manual review before promotion.,medium,energyandai_56_2024_global_data_center_share_percent_24_0_estima_ba2dc09e10,,,,,,,,,,,
energyandai,Energy and AI,EnergyandAI.pdf,56,2024,global,,data_center_share_percent,15.0,%,estimate,"lectricity consumption of
accelerated servers as a proxy for the share of AI in total electricity consumption from
data centres. Accelerated servers accounted for 24% of server electricity demand and
15% of total data centre demand in 2024.
56 International Energy Agency | Energy and AI
.0.4
YB
CC
.AEI",Extracted from pages 49–64. Requires manual review before promotion.,medium,energyandai_56_2024_global_data_center_share_percent_15_0_estima_46173adc35,,,,,,,,,,,
energyandai,Energy and AI,EnergyandAI.pdf,57,2015,global,,regional_data_center_demand_twh,180.0,TWh,estimate,"es, Europe and China account for around 85% of global electricity consumption from data centres today. In the United States, electricity consumption from data centres grew by around 12% a year between 2015 and 2024. Data centres accounted for around 180 TWh of electricity consumption in 2024 in the United States, nearly 45% of the global total and more than 4% of US electricity consumption from all sources (Figure 2.6). In China, the data centre sector started to expand significantly from 2015 o",Extracted from pages 49–64. Requires manual review before promotion.,medium,energyandai_57_2015_global_regional_data_center_demand_twh_180_0_74c3ebfaf6,,,,,,,,,,,
energyandai,Energy and AI,EnergyandAI.pdf,57,2015,global,,regional_data_center_demand_twh,100.0,TWh,estimate,"rowing 15% per year between 2015 and 2024, more than twice the rate seen between 2005 and 2015. Over the same period, electricity consumption across all sectors grew at an annual rate of around 7%. As of today, data centres account for approximately 100 TWh of electricity consumption, roughly equivalent to that of electric vehicles in China. The country accounts for around 25% of global data centre electricity consumption, up from less than 20% a decade ago. However, substantial data gaps make i",Extracted from pages 49–64. Requires manual review before promotion.,high,energyandai_57_2015_global_regional_data_center_demand_twh_100_0_ef4ae80bbe,,,,,,,,,,,
energyandai,Energy and AI,EnergyandAI.pdf,57,2015,global,,data_center_share_percent,85.0,%,estimate,"), further increasing uncertainty about
AI-related electricity demand.
Data centre electricity consumption is not spread evenly around the world
The United States, Europe and China account for around 85% of global electricity
consumption from data centres today. In the United States, electricity consumption from
data centres grew by around 12% a year between 2015 and 2024. Data centres accounted
for",Extracted from pages 49–64. Requires manual review before promotion.,medium,energyandai_57_2015_global_data_center_share_percent_85_0_estima_a7d5b6007b,,,,,,,,,,,
energyandai,Energy and AI,EnergyandAI.pdf,57,2015,global,,data_center_share_percent,12.0,%,estimate,"ld
The United States, Europe and China account for around 85% of global electricity
consumption from data centres today. In the United States, electricity consumption from
data centres grew by around 12% a year between 2015 and 2024. Data centres accounted
for around 180 TWh of electricity consumption in 2024 in the United States, nearly 45% of
the global total and more than 4% of US electricity cons",Extracted from pages 49–64. Requires manual review before promotion.,medium,energyandai_57_2015_global_data_center_share_percent_12_0_estima_2722a6048b,,,,,,,,,,,
