priority_score,source_id,source_name,filename,page,year,region,country,metric,value,unit,scenario,quote,note,confidence,candidate_id,promote,reviewer,review_note,corrected_year,corrected_region,corrected_country,corrected_metric,corrected_value,corrected_unit,corrected_scenario,corrected_confidence
153,energyandai,Energy and AI,EnergyandAI.pdf,63,2030,global,,data_center_electricity_demand_twh,945.0,TWh,base,"0. The main drivers of growth in electricity consumption from data centres are the increases in the stock and wattage of servers Global results Global electricity consumption by data centres is projected to reach around 945 TWh by 2030 in the Base Case, representing just under 3% of total global electricity consumption in 2030. This is more than double the estimated approximately 415 TWh for 2024 (Figure 2.10), which accounted for around 1.5%",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_63_2030_global_data_center_electricity_demand_twh_94_cde27a4024,,,,,,,,,,,
153,energyandai,Energy and AI,EnergyandAI.pdf,49,2030,global,,data_center_electricity_demand_twh,945.0,TWh,base,"Efficiency and Headwinds) capture uncertainties in efficiency improvements in hardware and software, AI uptake and energy sector bottlenecks. • In the Base Case, electricity consumption from data centres rises to around 945 TWh by 2030, more than doubling from the 2024 level. The United States sees by far the largest absolute growth, followed by China and Europe. Data centres still account for less than 10% of the growth in global electricity",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_49_2030_global_data_center_electricity_demand_twh_94_3065550d42,,,,,,,,,,,
153,energyandai,Energy and AI,EnergyandAI.pdf,49,2030,global,,data_center_electricity_demand_twh,945.0,TWh,base,"ciency and Headwinds) capture uncertainties in efficiency improvements in | hardware and software, AI uptake and energy sector bottlenecks. | • In the Base Case, electricity consumption from data centres rises to around 945 TWh | by 2030, more than doubling from the 2024 level. The United States sees by far the | largest absolute growth, followed by China and Europe. Data centres still account for | less than 10% of the growth in global electr",Extracted from table; review source page before publication. Review reason: scenario_or_range_value,medium,energyandai_49_2030_global_data_center_electricity_demand_twh_94_2120d8fc64,,,,,,,,,,,
153,energyandai,Energy and AI,EnergyandAI.pdf,14,2030,,United States,data_center_electricity_demand_twh,945.0,TWh,estimate,"sector accounts for substantial shares of electricity consumption in local markets. Electricity demand for data centres more than doubles by 2030 Data centre electricity consumption is set to more than double to around 945 TWh by 2030. This is slightly more than Japan’s total electricity consumption today. AI is the most important driver of this growth, alongside growing demand for other digital services. The United States accounts for by far",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_14_2030_united_states_data_center_electricity_demand_57357dddd1,,,,,,,,,,,
145,energyandai,Energy and AI,EnergyandAI.pdf,77,2024,global,,data_center_electricity_demand_twh,415.0,TWh,estimate,"PPAs globally (Figure 2.16). | Technology companies operating data centres account for over 30% of this capacity. In | 2024, technology companies’ renewables PPAs were sufficient to cover roughly 20% of | the estimated 415 TWh of global electricity demand from data centres. | An additional 60 GW of PPA-related capacity is currently under development – meaning | projects for which financing and/or permits have been secured or which are under",Extracted from table; review source page before publication. Review reason: scenario_or_range_value,medium,energyandai_77_2024_global_data_center_electricity_demand_twh_41_b32cb68015,,,,,,,,,,,
145,energyandai,Energy and AI,EnergyandAI.pdf,77,2024,global,,data_center_electricity_demand_twh,415.0,TWh,estimate,"porate PPAs globally (Figure 2.16). Technology companies operating data centres account for over 30% of this capacity. In 2024, technology companies’ renewables PPAs were sufficient to cover roughly 20% of the estimated 415 TWh of global electricity demand from data centres. An additional 60 GW of PPA-related capacity is currently under development – meaning projects for which financing and/or permits have been secured or which are under Chapt",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_77_2024_global_data_center_electricity_demand_twh_41_8a6aed9292,,,,,,,,,,,
145,energyandai,Energy and AI,EnergyandAI.pdf,63,2024,global,,data_center_electricity_demand_twh,415.0,TWh,base,"consumption by data centres is projected to reach around 945 TWh by 2030 in the Base Case, representing just under 3% of total global electricity consumption in 2030. This is more than double the estimated approximately 415 TWh for 2024 (Figure 2.10), which accounted for around 1.5% of today’s global electricity demand. From 2024 to 2030, data centre electricity consumption grows by around 15% per year, more than four times faster than the gro",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_63_2024_global_data_center_electricity_demand_twh_41_2fc0e3ed57,,,,,,,,,,,
138,energyandai,Energy and AI,EnergyandAI.pdf,49,2030,global,,data_center_electricity_demand_twh,800.0,TWh,low,"limited local constraints on data centre buildout. In this case, consumption reaches over 1 260 TWh by 2030. The High Efficiency Case is driven by energy savings in both software and hardware; consumption reaches around 800 TWh by 2030. In the Headwinds Case, it reaches around 670 TWh. By 2035, the spread of uncertainty widens further, spanning 700 TWh to 1 720 TWh across the four cases. • Natural gas generation to meet data centre demand incr",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_49_2030_global_data_center_electricity_demand_twh_80_6a70dcdc79,,,,,,,,,,,
138,energyandai,Energy and AI,EnergyandAI.pdf,49,2030,global,,data_center_electricity_demand_twh,800.0,TWh,low,"d local constraints on data | centre buildout. In this case, consumption reaches over 1 260 TWh by 2030. The High | Efficiency Case is driven by energy savings in both software and hardware; | consumption reaches around 800 TWh by 2030. In the Headwinds Case, it reaches | around 670 TWh. By 2035, the spread of uncertainty widens further, spanning | 700 TWh to 1 720 TWh across the four cases. | • Natural gas generation to meet data centre deman",Extracted from table; review source page before publication. Review reason: scenario_or_range_value,medium,energyandai_49_2030_global_data_center_electricity_demand_twh_80_4d1d6934df,,,,,,,,,,,
138,energyandai,Energy and AI,EnergyandAI.pdf,49,2030,global,,data_center_electricity_demand_twh,1260.0,TWh,low,"unt for less than 10% of the growth in global electricity consumption to 2030. • The Lift-Off Case assumes stronger AI uptake and limited local constraints on data centre buildout. In this case, consumption reaches over 1 260 TWh by 2030. The High Efficiency Case is driven by energy savings in both software and hardware; consumption reaches around 800 TWh by 2030. In the Headwinds Case, it reaches around 670 TWh. By 2035, the spread of uncertain",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_49_2030_global_data_center_electricity_demand_twh_12_b0fd82d137,,,,,,,,,,,
